STATION_ID;Stationshoehe;Geogr.Breite;Geogr.Laenge;von_datum;bis_datum;Stationsname
720;438.0;51.4259;8.5337;19871216;19980619;Brilon-Scharfenberg
6337;59.0;51.7663;7.5193;20030811;;Lüdinghausen-Brochtrup
1633;215.0;51.5829;8.4707;19780427;19991231;Geseke-Eringerfeld
15000;231.0;50.7983;6.0244;20101020;;Aachen-Orsbach
5791;170.0;50.6935;6.6515;19681001;20020331;Zülpich
2286;115.0;51.35;7.5833;19581201;19750331;Hohenlimburg
15456;74.0;51.6326;8.1298;20140806;20170531;Lippetal-Brockhausen
2258;94.0;51.7882;9.426;18910601;;Höxter-Lüchtringen
3860;104.0;51.7531;8.7176;19900601;20031031;Paderborn-Schloß Neuhaus
15455;500.0;50.5636;6.4483;20140721;;Schleiden-Morsbach
5359;254.0;51.4833;8.3333;19410101;20071231;Warstein-Belecke
1071;110.0;50.8385;6.444;19890405;19890531;Düren-Merken
7378;101.0;51.0149;6.5173;20060103;;Bedburg-Weiler Hohenholz
2135;225.0;50.7263;7.3954;18920801;;Hennef-Lückert
2498;170.0;52.113;8.9564;19850306;20060630;Kalletal-Hohenhausen
2333;278.0;50.6505;7.2895;19900625;19911231;Honnef, Bad (Servatiushof)
5612;460.0;51.1529;8.5757;19911101;20061231;Winterberg-Züschen
2156;63.0;51.5333;7.2167;19831010;20020331;Herne (Gräffstraße )
15559;45.0;52.2899;7.5862;18920701;20050731;Hörstel
5581;470.0;51.1;7.6667;19050430;19841001;Willertshagen
1246;104.0;51.8418;8.0607;19330901;;Ennigerloh-Ostenfelde
4051;397.0;51.2159;7.3886;19590328;20061231;Radevormwald
902;573.0;50.4115;6.5615;18910101;;Dahlem-Schmidtheim
5500;134.0;52.07;8.4209;19730101;20061231;Werther
5627;138.0;51.4333;7.35;19480101;19780731;Witten-Hohenstein
484;99.0;52.0358;8.5637;19960314;19991231;Bielefeld (Stadtreinigungsamt )
2179;163.0;50.8544;6.078;19310101;20121130;Herzogenrath
5618;312.0;51.1362;7.4306;19471201;19970630;Wipperfürth (Schevelinger Talsperre )
4667;46.0;51.0395;5.9071;19380119;;Selfkant-Havert
4676;61.0;51.8333;7.55;19830526;20061231;Senden-Ottmarsbocholt
4324;142.0;50.8396;7.4098;19671215;19870430;Ruppichteroth-Broeleck
15927;82.0;50.9317;6.0937;20170830;;Übach-Palenberg
1327;147.0;50.7119;6.7905;18920501;;Weilerswist-Lommersum
5513;92.0;52.2902;7.8687;18910101;;Westerkappeln
2169;410.0;51.1626;7.773;19870414;19991031;Herscheid
5464;75.0;51.6167;7.95;19620102;20060430;Welver
7344;45.0;51.2992;6.2013;20060307;;Nettetal-Hülst
2098;127.0;51.3104;6.9743;19840629;20061231;Heiligenhaus
4326;205.0;50.8444;7.4478;19851015;20061231;Ruppichteroth-Scheid
2105;274.0;50.6388;6.4426;19381201;20061231;Heimbach-Schwammenauel
2027;63.0;51.9753;8.2094;18910901;;Harsewinkel
2134;79.0;50.7667;7.25;19790417;20061231;Hennef
3321;77.0;51.1313;6.3609;18920401;;Mönchengladbach-Hilderath
5611;782.0;51.1904;8.4654;19831010;20061231;Winterberg-Altastenberg
3096;444.0;51.2131;7.6359;19400101;20071231;Lüdenscheid (Zeppelin-Gymnasium)
1999;23.0;51.7217;6.5839;18910101;;Hamminkeln-Mühlenrott
