Stationsname;east;north;up
Aachen;32295160.75;5629686.75;202
Aachen-Orsbach;32290318.26;5631616.51;231
Ahaus;32358912.46;5772092.08;46
Alfter-Volmershoven;32359773.83;5615207.65;160
Altenberge;32396321.9;5767489.05;65
Arnsberg-Holzen;32424387.54;5696959.64;265
Arnsberg-Neheim;32429004.21;5701854.08;159
Attendorn-Neulisternohl;32421653.35;5663131.32;298
Beckum-Unterberg;32434909.03;5730361.23;120
Bedburg-Weiler Hohenholz;32325857.06;5654415.38;101
Bergisch Gladbach -Refrath;32366680.85;5646558.44;67
Berleburg, Bad-Arfeld;32460142.46;5651624.33;436
Berleburg, Bad-Stünzel;32455658.52;5648202.19;610
Bielefeld-Deppendorf;32462747.96;5769118.94;105
Bielefeld-Sennestadt;32472035.32;5754376.31;127
Blankenheim-Ahrhütte;32339107.44;5583808.8;400
Bocholt-Liedern (Wasserwerk);32330249.19;5744922.53;23
Bochum;32379843.76;5704502.25;101
Bonn-Roleber;32372493.6;5621902.29;159
Borgentreich;32516107.6;5712983.94;206
Borken in Westfalen;32354483.36;5749002.79;48
Brakel;32512009.76;5728231.47;150
Breckerfeld-Wengeberg;32393023.03;5678609.05;440
Brilon-Thülen;32475659.88;5695923;457
Burbach-Würgendorf;32438329.46;5623011.67;413
Coesfeld;32373477.67;5758391.13;87
Dahlem-Schmidtheim;32326745.81;5587226.79;573
Delbrück;32470048.42;5737048.08;88
Dinslaken;32346510.06;5716262.04;53
Dormagen-Zons;32349588.64;5664898.59;36
Dorsten-Hervest;32360614.35;5726326.15;33
Dorsten-Lembeck;32365387.66;5733797.16;51
Drensteinfurt;32413920.65;5734914.33;72
Driburg, Bad-Dringenberg;32504190.81;5724259.6;270
Duisburg-Baerl;32340515.97;5708911.96;25
Düsseldorf;32344430.46;5685106.64;37
Emsdetten;32401774.37;5780952.25;43
Enger;32467335.98;5777829.31;128
Ennigerloh-Ostenfelde;32435290.17;5743860.09;104
Erkelenz;32312794.55;5661150.93;92
Erndtebrück-Birkelbach;32449662.59;5651715.74;500
Eschweiler-Weisweiler;32312190.71;5634377.16;113
Eslohe;32441136.15;5678409.21;351
Espelkamp-Isenstedt;32476000.93;5799491.88;65
Essen-Bredeney;32358643.17;5696723.64;150
Fröndenberg-Hohenheide;32415388.68;5704965.61;235
Geldern-Walbeck;32308850.37;5708379.93;37
Gelsenkirchen-Buer;32365930.09;5715677.42;91
Gevelsberg-Oberbröking;32384434.14;5688152.11;205
Goch-Asperden;32299904.68;5729960.25;16
Gronau;32365108.22;5785597.95;40
Hamm (Schleuse);32418442.86;5726829.67;59
Hamminkeln-Mühlenrott;32333118.3;5732848.5;23
Harsewinkel;32445695.43;5758586.16;63
Heiligenhaus-Abtsküche;32360275.14;5689467.74;136
Heimbach-Düttling;32326617.01;5609167.43;385
Heinsberg-Schleiden;32297000.48;5658385.92;57
Hellenthal-Udenbreth;32314565.15;5587518.17;650
Hennef-Lückert;32386747.66;5620616.93;225
Herzogenrath;32294341.42;5637702.48;163
Honnef, Bad;32373867.83;5612423.61;58
Horn-Meinberg, Bad-Feldrom;32496071.57;5741442.58;356
Hörstel-Riesenbeck;32407471.28;5788552.87;46
Höxter-Lüchtringen;32529382.89;5737567.47;94
Hückeswagen (Bevertalsperre);32385671.97;5667041.67;298
Iserlohn-Letmathe;32402689.43;5689818.81;124
Jülich (Kläranlage);32313306.12;5645580.42;76
Kahler Asten;32464289.57;5669999.29;839
Kall-Sistig;32324585.2;5597303.74;505
Kamen;32406719.41;5715785.68;60
Kierspe-Höckinghausen;32399913.53;5663874.93;443
Kleve;32299558.39;5738470.81;46
Kleve-Schenkenschanz;32300925.67;5746634.91;16
Kreuztal-Eichen;32427504.26;5648519.96;305
Köln-Bonn;32370341.11;5636385.39;92
Köln-Stammheim;32358069.78;5650592.77;43
Laasphe, Bad-Hesselbach;32455579.96;5637382.2;459
Lage, Kreis Lippe-Hörste;32484527.7;5754900.43;150
Lemgo;32493504.94;5765758.31;138
Lennestadt-Theten;32432467.23;5665091.43;286
Leverkusen-Pattscheid;32364891.85;5661970.8;140
Lichtenau in Westfalen;32493138.57;5718256.84;307
Lienen-Kattenvenne;32422628.77;5775109.74;55
Lindlar-Oberlichtinghagen;32390942.33;5658149.89;337
Lippetal-Brockhausen;32439773.01;5720534.83;74
Lippspringe, Bad;32488880.72;5737193.64;157
Lippstadt-Bökenförde;32458093.76;5720461.06;92
Lüdenscheid;32405249.62;5677968.03;387
Lüdinghausen-Brochtrup;32397823.31;5736083.13;59
Lügde-Paenbruch;32518652.73;5746213.69;258
Marienheide-Müllenbach;32400668.38;5658353.96;385
Marsberg-Helminghausen;32480733.72;5691475.04;377
Marsberg-Leitmar;32490401.14;5694873.02;373
Medebach-Berge;32479927.21;5668557.69;380
Meinerzhagen-Redlendorf;32403985.43;5660716.13;380
Meschede;32449212.8;5687720.79;348
Mettmann;32358098.67;5679590.46;153
Minden-Hahlen;32488954.28;5794941.05;46
Monschau-Kalterherberg;32302109.07;5600193.98;535
Morsbach;32409607.18;5635587.43;227
Möhnesee (Möhnetalsperre);32435012.86;5705021.63;234
Mönchengladbach-Hilderath;32315352.39;5667738.12;77
Münster/Osnabrück;32410811.52;5776787.48;48
Münstereifel, Bad;32341342.73;5602013.13;320
Netphen (Lahnhof);32446733.43;5638366.2;613
Nettetal-Hülst;32304898.96;5686817.95;45
Neuenrade-Blintrop;32420021.99;5682866.33;292
Neunkirchen-Seelscheid-Krawinkel;32385385.83;5633806.86;195
Neuss;32338762.49;5673495.58;39
Nideggen-Schmidt;32317992.59;5616772.8;350
Nieheim;32507688.14;5739100.19;203
Nottuln;32385450.17;5754408.18;115
Oberhausen-Klosterhardt;32353277.04;5709751.34;88
Oerlinghausen (Nord);32476558.1;5757178.16;205
Oeynhausen, Bad;32486209.45;5783769.5;70
Olfen;32386433.4;5729684.84;49
Olsberg-Brunskappel;32463713.17;5681391.51;442
Ostbevern-Schirlheide;32421205.73;5762628;55
Overath-Böke;32378892.53;5647404.43;221
Petershagen;32501197.95;5803493.5;43
Plettenberg;32421254.12;5673626.25;230
Porta Westfalica-Barkhausen;32493652.84;5790183.32;49
Pulheim;32345019.42;5651278.92;61
Rahden-Kleinendorf;32472174.76;5810735.42;41
Reichshof-Eckenhagen;32408467.95;5649589.12;350
Reken-Groß Reken;32368382.28;5741830.34;59
Remscheid-Lennep;32377717.94;5671296.63;345
Rheda-Wiedenbrück-Lintel;32455785.33;5747564.04;73
Rheinbach;32354646.44;5610073.45;180
Rüthen;32460723.49;5705202.81;370
Salzkotten;32470953.12;5728845.78;93
Salzuflen, Bad;32483021.08;5772656.72;135
Sassendorf, Bad-Beusingsen;32443192.17;5710629.48;171
Schleiden-Morsbach;32319285.35;5604406.26;500
Schmallenberg-Sellinghausen;32448815.47;5673733.51;443
Selfkant-Havert;32283178.75;5658769.95;46
Siegen (Kläranlage);32429370.91;5634002.27;229
Simmerath (Kalltalsperre);32309996.79;5613973.63;435
Solingen-Hohenscheid;32366595.47;5667144.87;154
Stadtlohn;32360685.47;5762660.06;60
Steinfurt-Burgsteinfurt;32386417.4;5775382.73;64
Steinhagen-Brockhagen;32455078.82;5761629.66;82
Sundern-Röhrenspring;32433363.46;5677525.59;570
Tönisvorst;32321757.62;5685145.06;37
Versmold;32442326.94;5762539.37;63
Wadersloh;32449180.48;5734345.94;96
Waltrop-Abdinghof;32389517.21;5717377.79;60
Warburg;32507759.66;5705879.95;236
Warendorf;32431981.54;5755928.6;53
Warstein-Hirschberg;32449010.22;5698110.78;331
Weilerswist-Lommersum;32344009.73;5620116.3;147
Wenden-Dörnscheid;32419022.4;5643529.34;418
Werl;32422936.16;5714500.76;85
Wermelskirchen;32373176.11;5668046.59;255
Werne-Wessel;32409045.9;5730283.16;93
Wesel-Flüren;32333108.26;5729620.66;25
Westerkappeln;32422840.1;5793918.56;92
Willebadessen-Borlinghausen;32502099.25;5714994.02;275
Windeck-Dattenfeld;32398320.99;5628999.46;108
Wipperfürth-Gardeweg;32389763.07;5669199.62;360
Witten-Stockum;32386043.27;5703680.83;122
Wuppertal-Buchenhofen;32367693.63;5676618.81;134
Wünnenberg-Eilern;32484632.52;5710201.26;312
Xanten;32320140.61;5730545.19;20
Übach-Palenberg;32295784.78;5646252.5;82
