name;east;north;up;value;dist_1;value_1;dist_2;value_2;dist_3;value_3;dist_4;value_4;dist_5;value_5;dist_6;value_6;dist_7;value_7;dist_8;value_8;dist_9;value_9;dist_10;value_10;dist_11;value_11;dist_12;value_12;dist_13;value_13;dist_14;value_14;dist_15;value_15;dist_16;value_16;dist_17;value_17;dist_18;value_18;dist_19;value_19;dist_20;value_20;dist_21;value_21;dist_22;value_22;dist_23;value_23;dist_24;value_24;dist_25;value_25;dist_26;value_26;dist_27;value_27;dist_28;value_28;dist_29;value_29;dist_30;value_30;dist_31;value_31;dist_32;value_32;dist_33;value_33;dist_34;value_34;dist_35;value_35;dist_36;value_36;dist_37;value_37;dist_38;value_38;dist_39;value_39;dist_40;value_40;dist_41;value_41;dist_42;value_42;dist_43;value_43;dist_44;value_44;dist_45;value_45;dist_46;value_46;dist_47;value_47;dist_48;value_48;dist_49;value_49;dist_50;value_50;unix;doy
Bielefeld-Sennestadt;32472035.32;5754376.31;127;22.1;5320.900896550688;27.0;12503.391093570339;27.1;17424.140698654643;14.2;17441.8131953899;24.2;18442.77645780342;14.9;21327.455932334255;17.4;23919.17654175408;12.5;24062.679599098003;13.5;24300.095225007757;20.9;25553.47872444893;12.4;26674.271090971466;10.6;30390.1364715998;21.6;30809.53564706788;11.1;36668.95829984897;11.8;38787.74538700073;11.3;41832.949616819766;3.5;45289.56351188453;7.7;45936.46389680496;1.8;47326.82581129333;10.1;47765.14462387086;4.2;49546.20627948203;4.3;50458.39523011947;3.7;51495.07540944272;12.5;52399.56462577947;10.4;53580.66336345136;15.4;56359.348111078594;12.3;57122.36337909156;6.0;58566.50736683589;5.7;59760.2039492046;5.7;60234.02097390753;1.5;60462.38830558497;1.9;60794.79181797477;7.3;61286.91997261316;18.4;61697.31299946568;14.8;63117.037564438826;19.2;63251.78862694793;22.6;63500.34984291676;6.0;65196.782652283;19.8;67898.91086022586;12.2;70454.76993519119;10.7;73051.75614285478;14.5;73458.4129740253;11.8;74612.35807034519;13.3;75119.16358550603;13.7;75864.4140023833;34.5;76433.4186514821;18.5;76840.5476451351;17.4;83919.7383329008;10.4;84734.7926836599;17.9;86033.37822832435;23.3;1504828800;251
Blankenheim-Ahrhütte;32339107.44;5583808.8;400;13.5;12826.631705052883;18.0;18341.225480676007;11.0;19824.72913361672;16.4;24822.286845517272;20.9;28267.847142323848;17.2;30517.876083084804;7.9;36637.83580527228;9.9;37590.49157638811;10.9;39146.70722452353;11.5;40464.4502160773;29.7;41920.736364614764;15.6;45024.538068568916;7.0;50653.80282787984;14.8;57286.575704806775;10.2;60203.48512125505;12.4;61155.00651375048;16.7;66944.3509727806;8.7;67729.4878271999;19.6;68128.82950525031;26.2;69424.75377152201;25.7;71839.75995534008;12.1;74488.42540178818;17.1;75015.2623297751;22.9;81696.19401838139;31.5;81765.16429191646;18.7;82305.53834978609;30.9;85643.80045827072;26.7;87226.9309626619;23.7;87471.53704916964;27.9;87752.79409982175;32.9;90628.12727128292;25.3;90866.3885309242;43.7;93527.09602269712;26.6;95372.82897428169;37.3;95592.5381332782;25.6;97113.02163415584;37.2;99285.37954285741;32.3;99764.44283256812;27.7;100617.5501300285;34.8;101438.25067293877;27.0;102811.40799454098;17.2;103280.72273218057;10.6;106685.86803376171;7.3;107758.77143515351;43.1;108541.37972512149;14.8;109059.52432094404;36.1;109551.54512674877;24.6;113763.23703044908;38.2;114481.00209588752;23.8;114592.6190417973;29.9;1504828800;251
Bochum;32379843.76;5704502.25;101;35.1;16104.5597951042;23.6;16982.622958894757;38.2;17845.86051155416;25.6;22582.608150525903;29.9;24677.289248305497;43.1;26030.53780538641;20.2;29056.25380142625;36.1;29148.208117949776;34.5;30415.66988002382;37.2;35347.284486001176;14.6;36340.30770063437;18.5;36670.635074852005;32.3;36736.96162379186;23.5;37060.71260186642;43.7;37911.76459544547;37.3;39048.093306056566;13.8;39574.31470750217;14.8;39637.02609163012;32.9;40376.91915144302;27.0;44237.14950106944;22.6;45083.094090253166;30.9;45178.160634318425;13.3;45633.755939863564;14.8;45674.170851787676;18.4;47663.14330396659;25.3;49231.75817042621;12.2;49838.00153106137;18.7;50001.22374545664;34.8;51219.632539210164;24.6;51654.25376800589;21.1;53057.96129873544;11.1;54263.603691079035;20.9;54651.48291926015;11.4;55171.70506150914;14.8;57105.86911400032;22.9;58140.705215114715;25.7;58818.65753341335;23.8;59935.952764976784;23.3;61226.66543913514;17.2;61926.231118588614;25.6;63603.92372113923;19.6;63644.07982680733;10.4;65106.58467543412;17.4;65136.068385852;10.2;65745.54397762025;13.4;68776.50074176637;16.7;69461.5215618842;7.3;70756.67787650111;14.1;70912.35113248548;26.2;71099.23995286154;8.8;1504828800;251
Bonn-Roleber;32372493.6;5621902.29;159;14.8;9578.313193630982;7.0;14312.048519103148;12.4;14373.960991410093;10.9;14642.332048212067;16.7;17547.92515534878;26.2;21411.28246535461;7.9;26292.7612419175;22.9;26784.818409331005;17.1;28539.809993359457;9.9;32112.360268637687;25.7;36959.184356024016;11.0;39556.35854367611;27.9;40222.21476782795;19.6;40672.78977858234;25.3;40783.237459556614;30.9;45395.49420780925;25.6;45625.420628782565;32.9;46149.44699982958;43.7;47023.95542317999;37.3;47611.86034222665;17.2;48716.87731465991;18.7;49982.98083642448;34.8;50351.885964775596;32.3;50653.80282787984;13.5;51310.09259533854;27.7;53855.57695042088;16.4;54742.19797998963;11.5;54926.659264070266;37.2;56851.30823930048;12.1;57405.766140121836;18.0;58150.17462429787;10.6;60309.14596329866;36.1;61112.14597659383;24.6;61579.72913117657;10.2;62998.34192716504;15.6;63748.08638733674;8.7;64160.21552179685;23.8;64933.62789793895;23.5;65845.69615338517;7.3;67317.28798402398;38.2;67366.268329018;20.9;68661.35250251154;43.1;69154.49782611459;27.0;71084.18522957095;21.1;71445.34135793714;31.5;73253.31334522084;23.7;73657.13924920754;29.7;73906.38834577391;13.4;76044.84733968988;11.2;76092.50231137978;29.9;1504828800;251
Borgentreich;32516107.6;5712983.94;206;1.9;10961.554459278372;1.5;14151.998174425344;4.3;15788.685815053714;4.2;23566.714122909645;3.5;27439.85841352165;11.3;27939.1448660288;5.7;31598.02533369649;1.8;33327.11622357078;10.1;36433.70650406722;13.5;41400.161913507116;6.0;43899.393251868736;5.7;47859.56332078298;12.4;51966.76649756031;24.2;52481.2857495906;27.1;55928.28015029033;3.7;57295.223061042736;14.3;57410.965781568426;20.9;58493.81121999122;11.8;59306.762115785554;27.0;60462.38830558497;22.1;61182.62518337872;11.8;67328.96150768669;17.9;68231.68999547744;17.4;68726.15889346912;7.3;70253.72969098893;21.6;71506.37159696064;10.7;72953.44158418062;10.4;77449.33574233974;14.2;77903.03706610037;10.4;78044.43246386587;14.9;81139.38015452975;12.5;81484.6980739577;14.8;83049.09111225605;12.8;83889.55001689737;10.6;87811.59685435523;12.2;88605.47173797527;17.0;88878.27001871994;11.1;90022.3293692306;23.3;90381.51426669252;22.4;91729.51915014103;6.0;93109.35010993287;13.3;93183.86456670624;22.6;95352.96818942003;7.7;96381.58749386338;13.4;96846.69485324372;10.5;100695.19490613653;14.8;101885.95700535367;11.2;102694.74673149848;21.1;104513.79196955393;18.4;106803.07826990246;23.8;1504828800;251
Borken in Westfalen;32354483.36;5749002.79;48;24.6;15640.464736348225;13.8;21187.880057518443;20.9;23510.258261323183;14.1;26784.83711370379;11.4;28854.15728013556;11.1;33697.62971564189;14.6;35236.483399025754;25.6;37336.15204067031;20.2;38988.56575103124;10.2;41420.82086493657;11.9;42454.24787345813;14.8;45224.65037474629;18.5;45740.63321729506;17.4;47196.519096460965;23.6;51219.632539210164;35.1;52444.48443791452;29.9;55925.619676684655;9.0;57071.9514832974;13.7;57805.29097058476;6.2;59816.17371640293;43.1;61084.17735973525;18.4;61094.898738925636;8.8;61903.000414799775;34.5;62808.045721720555;19.8;64682.13744328891;27.0;66120.56032682267;14.5;67822.40874571497;38.2;68099.3469495937;12.5;71755.02672496505;17.2;72975.13132136612;15.4;73579.6112392105;37.2;76656.22786806706;22.6;79533.43358729982;14.8;80254.21147140297;36.1;81792.86175529468;19.2;82749.22060888835;32.9;83086.509554816;43.7;84246.51260152209;18.7;87150.04837861478;13.3;87254.23327113161;32.3;87311.31200277164;23.5;87652.22422414781;30.9;87695.0231506126;37.3;88183.73013423065;12.2;88880.44650154018;11.1;90195.23404454194;23.7;91714.13696503859;10.6;91757.16539429284;14.8;93109.62839367556;14.8;95824.684148799;21.6;1504828800;251
Brakel;32512009.76;5728231.47;150;4.2;11696.507293325802;11.3;15788.685815053714;1.9;16536.74441849536;4.3;19170.31430491708;10.1;19722.821248413315;5.7;21345.718649252558;3.5;22752.16895859365;1.5;24804.697769386945;13.5;32781.51898039218;1.8;38294.869752035054;27.1;41061.27511251629;12.4;41841.27421121398;20.9;42877.62249108144;24.2;45768.26502842045;27.0;47765.14462387086;22.1;48262.58751275832;6.0;48633.78721378254;5.7;53046.64580070166;17.4;54473.091444933634;11.8;56219.65022933568;3.7;63126.12838357392;21.6;64019.62329818122;14.2;66004.36082987153;14.9;66750.97629364002;12.5;67280.21791306626;11.8;67751.77439736074;14.3;69830.01337024091;7.3;71033.02884129435;10.4;72931.50990720872;10.6;74730.26551072924;10.7;75290.62386637923;17.9;76034.72788270561;6.0;77670.68285114059;11.1;79841.65013535955;7.7;80419.06700799218;14.8;83448.37794568599;10.4;87095.855900351;12.2;90125.70576181008;22.6;91617.36119100207;12.3;92514.60697786932;12.8;93035.44493513076;13.3;93576.18912022706;23.3;97100.47458834604;12.5;97879.3109234844;17.0;98316.53066688386;18.4;98701.3122731504;22.4;100928.40331925113;15.4;101556.37462022113;13.4;102565.91012998944;14.8;105916.58341854726;21.1;1504828800;251
Breckerfeld-Wengeberg;32393023.03;5678609.05;440;36.1;9958.469366649688;32.3;12243.49699507848;23.5;12841.115628936614;38.2;13706.295166383674;37.3;20564.949535450323;25.3;20984.14639403673;34.8;22483.32759486616;43.7;25409.313166981006;37.2;27332.95040934749;14.8;28668.22000801741;21.1;28808.42145321605;32.9;29056.25380142625;35.1;32546.51307368121;23.8;32684.624080060694;30.9;32874.153844794586;25.6;34255.617066320774;22.9;34502.57764237692;43.1;36338.78459563643;13.3;38861.25634211604;29.9;38928.78594382337;23.6;39621.169130418944;34.5;40355.18650875592;23.3;41696.458843699715;13.4;42837.55005708532;12.2;43664.101709308736;27.7;44797.31286138617;25.7;45449.12625822523;26.2;45548.722968747985;18.7;45763.81522929466;24.6;45915.28343918375;25.6;46107.90808144369;27.9;46724.043255276345;22.6;47931.49343262834;16.7;49026.71663504528;27.0;49606.57861297384;14.8;49892.78529135906;17.1;51500.60609993866;20.2;55239.71596459324;19.6;56005.06459638212;10.4;56923.83088373844;10.7;57541.09595291653;10.6;57675.45163173656;18.5;58331.059271466394;12.4;59286.54820521051;7.3;59517.416835113065;10.4;59844.413299499014;14.6;60059.39145165157;18.4;60309.14596329866;14.8;60625.324158407275;14.8;62700.027749192624;22.4;1504828800;251
Brilon-Thülen;32475659.88;5695923.0;457;5.7;6747.933054439572;6.0;16864.103954767485;1.8;17584.600901590293;3.7;18811.919265299297;11.8;26739.607989722084;7.3;27690.001271404897;10.7;27696.140989765958;14.3;28310.221010443693;17.9;28360.668420573944;3.5;30179.764502359616;11.8;32600.264014841017;4.3;33259.51786520661;12.4;33609.3077933923;1.5;34828.092263404535;10.4;35644.277838586226;10.4;41507.792633889534;24.2;41653.511637763055;14.8;43337.58572319377;13.5;43899.393251868736;1.9;46124.44697255829;23.3;46664.882552124276;21.6;46937.86241644621;12.8;47032.096031488116;12.2;48633.78721378254;4.2;51283.17790041082;13.3;51284.91759817533;22.4;51743.14947802885;17.0;53068.06915356248;13.4;53760.05664918742;11.3;55902.25577967196;22.6;57149.61644789109;14.8;58566.50736683589;22.1;58797.817227681786;21.1;59641.17478686408;27.1;61262.263505309886;27.0;61888.83950961031;10.5;63182.47257636414;23.8;64416.993657282976;11.2;66163.26966526646;10.1;67572.44292480289;24.6;67974.66773762969;5.7;68855.54316160147;14.9;69460.02534543214;10.6;71745.88538448128;34.5;72079.94485430555;20.9;72663.54354811081;23.5;73021.94575031441;18.4;74326.89428847414;14.2;74491.48190914419;11.1;77086.67027754117;17.4;1504828800;251
Burbach-Würgendorf;32438329.46;5623011.67;413;7.3;14180.365385366667;10.6;17505.093638189657;11.2;22452.037741169683;10.5;27710.457913287642;24.6;28173.34508134576;27.7;30576.092414727853;17.0;30860.509379493287;22.4;31355.281915110616;27.9;35979.0468227774;12.8;39975.92521734435;25.6;40455.2138274562;17.1;42486.32805068576;13.4;43447.57974680074;23.8;51001.37046719999;34.8;51637.70148745661;12.4;51794.424011718096;10.4;53417.56671444332;21.1;53683.7519224996;17.9;54033.430473303226;26.2;54739.86918842967;23.3;58993.56210982293;25.3;61683.173004498916;14.3;62591.99966862067;14.8;63659.55774893294;11.8;64144.19689165362;23.5;64247.89687018909;22.9;65326.371258633655;7.0;65617.99696523821;10.7;65845.69615338517;14.8;67022.56166273169;32.3;68640.11493361823;37.3;69291.9559787505;16.7;71719.8856051044;36.1;75250.92228276879;13.3;75854.87249326642;7.3;78942.7244390369;10.9;79203.0807458213;43.7;79392.38262056772;12.2;80531.70551965442;6.0;81912.29599849564;5.7;82077.19181210821;14.8;83132.24946955846;30.9;84223.34441566907;32.9;84545.99757112152;38.2;84677.62196760558;7.9;84867.36835151854;25.7;85187.31081059157;3.7;87752.97796508275;10.4;88674.8204383225;37.2;92775.61564289453;22.6;1504828800;251
Coesfeld;32373477.67;5758391.13;87;20.9;17326.960168367892;13.8;19996.57606308218;14.1;21187.880057518443;24.6;21357.706151008682;11.9;24589.25530834858;17.4;31494.49903390936;20.2;33020.56684869973;18.5;36189.9060864264;13.7;41620.23029903672;19.8;43375.41932731632;25.6;44038.183776890255;23.6;45445.54721487764;14.5;46763.17990171462;18.4;47763.04837543222;11.4;47915.757353509216;12.5;49572.502980674646;11.1;50021.1292289604;14.6;51916.69842682498;15.4;54039.229980913005;34.5;54263.603691079035;35.1;59453.05521820631;14.8;60168.453802033386;10.2;60818.153563798274;19.2;63426.6953431292;29.9;66124.9333898859;22.6;68974.12885010178;11.1;70176.51237054307;43.1;71088.52290926583;38.2;72218.02733471885;10.6;76556.38958062866;9.0;78831.20818143207;27.0;78875.2485645199;6.2;79244.17865732459;12.2;79429.75944211321;21.6;79785.17726393012;13.3;81454.92463679411;14.8;81665.38913691137;14.9;81717.87155041494;8.8;81976.64085520997;37.2;82142.10854157561;36.1;84506.17596940737;10.4;86472.08694377853;23.5;88715.33781879011;14.8;89665.78412330715;17.2;89912.57369289375;14.2;90345.19948644316;43.7;90666.50008818037;32.3;91505.45956295505;32.9;92160.02015940276;37.3;92728.49034731992;11.8;1504828800;251
Dahlem-Schmidtheim;32326745.81;5587226.79;573;18.0;10306.201088403095;16.4;12184.387934566248;20.9;12826.631705052883;13.5;20779.07440388161;11.0;21941.823466831203;17.2;27840.948588789677;29.7;30816.153171485665;11.5;31558.55137591041;15.6;36063.40910885515;7.9;37147.601238929914;9.9;43289.134900803794;10.9;49347.947547459815;10.2;53438.09251828487;7.0;57405.766140121836;14.8;59883.37340592063;8.7;65706.54074785879;16.7;66609.77648940957;19.6;67196.125533773;12.1;68667.63835055241;12.4;70687.47709404683;25.7;74889.90419813122;26.2;75230.6286782657;31.5;77127.63898347778;26.7;79628.84318341078;22.9;80962.90364511985;18.7;81315.00657114446;23.7;82874.47481559838;17.1;83766.28312650087;26.6;83916.47566218379;30.9;89303.25007524656;32.9;93207.907143815;43.7;95662.61019708947;25.3;95942.05467617756;27.9;98046.70792672687;17.2;98325.22526510042;37.2;99210.8009581618;37.3;99466.0704845879;27.0;101960.59429538467;14.8;102798.9207054656;25.6;103396.15701328905;32.3;106614.6295795288;34.8;107599.34384628733;43.1;108097.04077138538;27.7;112782.86667415693;10.6;112886.69107842738;36.1;114049.02745702052;29.9;116249.72713641776;38.2;117181.45836239365;7.3;117937.22804548185;24.6;119986.89685650727;23.5;1504828800;251
Delbrück;32470048.42;5737048.08;88;24.2;8252.044133425099;12.4;17441.8131953899;22.1;18832.98892909693;13.5;20446.10339883909;11.8;21042.161115799256;21.6;21156.789536902783;27.0;22986.07826143497;27.1;28780.9491757386;14.9;29771.020955957145;3.5;30553.19775281061;1.8;32510.88490070064;10.6;32891.29164917721;14.2;33183.65659293585;3.7;37074.089835938685;20.9;37660.15061380567;11.1;37672.37023366702;10.4;37695.79422336677;11.3;37898.11814754241;17.4;38905.94087247356;4.3;40871.35489638762;12.5;41507.792633889534;5.7;42877.62249108144;4.2;44258.08671339184;7.3;46809.84011862825;6.0;47467.93949726782;14.8;48924.55267076409;1.5;49461.26016639767;10.1;51966.76649756031;1.9;52229.749094650724;22.6;53547.849625625;10.7;54067.086582542746;12.2;55135.666883086014;12.5;56017.091076986784;11.8;56168.315892821345;18.4;59336.74352501035;5.7;60762.079564546475;13.3;60805.544624469265;15.4;62726.876717560655;7.7;66780.9775683732;10.4;66803.09832141263;34.5;67299.84097148092;17.9;69199.77802143684;14.3;69920.9942006104;23.3;71331.8430574333;19.8;72231.56155044035;18.5;73384.52890900869;6.0;73718.02769384961;12.3;73745.15134981919;14.8;73911.27781775102;19.2;79763.7319516318;17.4;1504828800;251
Dinslaken;32346510.06;5716262.04;53;14.6;9484.385849094251;14.8;18922.5197990205;11.1;19428.86485992804;25.6;21317.851468408888;11.4;22999.366118051832;29.9;29989.287357737783;10.2;30123.393382825307;43.1;31224.732846255287;27.0;33647.16939979501;13.8;33697.62971564189;24.6;35347.284486001176;35.1;38475.708764726165;8.8;39761.16178224562;17.2;42119.40945212293;20.2;43021.621287268936;23.6;44948.14661115459;37.2;47206.21900185853;38.2;48576.78222307857;6.2;50021.1292289604;20.9;50974.877568640666;14.8;51455.63078729996;18.7;51939.28021932532;9.0;53065.33976784657;32.9;55008.41090552057;18.5;55098.53578186137;43.7;57191.02150828973;14.1;57318.72742256084;30.9;57666.036694012284;23.7;59844.413299499014;36.1;60211.2347927883;34.5;62899.602882570114;37.3;63920.172866761204;32.3;64606.28128125079;31.5;65000.21504998276;19.6;65203.972778931326;12.1;66678.93407074997;25.7;69943.5195525088;18.4;70120.4582620077;23.5;71329.17981409669;11.9;71452.26449683496;17.4;73152.78019990357;25.3;76092.20092895994;22.9;76163.27063638113;26.7;76446.39881935988;22.6;78092.21194426405;8.7;79930.42726875129;34.8;80234.21639743536;13.3;80742.39542971805;14.8;83355.86170345247;16.7;83742.97183396626;12.2;1504828800;251
Dormagen-Zons;32349588.64;5664898.59;36;18.7;14365.716387193752;19.6;15581.110569796609;30.9;16630.883036448144;25.7;17154.939944145546;32.9;20855.984913565924;27.0;21567.65689054874;37.2;23797.617653892245;43.7;25943.974371722445;12.1;26792.80526508037;43.1;33088.23532652368;29.9;34129.13459549978;22.9;34353.826943783155;23.7;34416.35109510107;17.2;35265.71594822458;16.7;36147.86494075648;37.3;36984.49878535182;31.5;40405.304860695935;32.3;41104.92123455858;8.7;41892.28596818778;38.2;41901.828472107336;25.3;44938.73830767662;14.8;45128.59465385782;9.9;45548.722968747985;36.1;47414.76317866409;26.2;48271.821868764804;10.2;48716.87731465991;14.8;49775.75637106872;14.8;49838.00153106137;35.1;50724.185448556986;10.9;51455.63078729996;14.6;52989.903601672224;26.7;53343.56183525229;25.6;54558.428037798185;34.8;55058.13339425494;7.9;57175.8529230134;23.5;57571.699946472414;11.5;57807.38621245541;12.4;57819.573476949256;7.0;59583.83649773192;8.8;60280.84090988171;17.2;60527.635467438944;17.1;60837.912634777625;25.6;63424.417751680616;11.0;64506.010095371836;15.6;65942.07845439012;23.6;66692.08212420554;26.6;66787.34454243036;11.1;66793.75513681727;27.9;69917.54098739254;11.4;71949.02930853928;10.2;1504828800;251
Drensteinfurt;32413920.65;5734914.33;72;18.4;16139.721729806706;18.5;20439.25762742108;34.5;22315.766392957285;22.6;27980.29676795088;20.2;28655.19472059689;12.5;30050.92782269933;23.6;35264.419105114095;21.6;36338.705003565716;12.2;36585.25768631607;14.8;37024.70031804286;17.4;38034.00614756581;10.4;39371.963733959776;13.3;39623.12784974679;10.6;39623.985508349135;11.1;41127.88139453004;15.4;41988.426456339424;19.8;45674.170851787676;35.1;46060.55259738809;13.8;46477.53286013889;11.8;46763.17990171462;20.9;47613.26534448915;13.7;48929.74783424222;11.9;49068.359609405634;14.9;50851.21725570988;7.3;51702.54264986952;25.6;52404.857158431376;14.8;54024.883366171816;14.5;55282.702360759766;38.2;55437.97486178599;3.7;56168.315892821345;24.2;57354.427679157314;12.4;57603.533484942;23.5;58930.82593477086;10.7;59615.959575339024;14.2;59674.58542960643;19.2;60059.39145165157;36.1;60594.870603738564;23.3;61084.17735973525;24.6;61286.91997261316;22.1;61725.46878175447;21.1;66393.42390732939;14.1;66476.65723975429;27.0;67187.31042262496;29.9;68519.3120471117;12.5;69943.5195525088;14.6;70014.9607286929;32.3;70308.16013655858;43.1;70433.50651291513;10.4;72198.65822818395;23.8;72244.43777971093;13.4;1504828800;251
Duisburg-Baerl;32340515.97;5708911.96;25;14.8;9484.385849094251;14.6;21844.133062735982;29.9;21993.735997644097;11.1;24125.02095879981;27.0;25053.611967149038;11.4;26299.302279453208;25.6;27722.09969496107;43.1;29717.872742888165;10.2;30277.737272333183;17.2;31670.071412624864;8.8;39574.31470750217;35.1;41913.208887175904;14.8;42207.636998511676;37.2;42454.24787345813;24.6;43129.48099433409;13.8;44938.73830767662;18.7;45741.74754409946;6.2;48254.46676486953;23.7;48577.86973686209;38.2;49240.70235402911;32.9;49727.185966297206;23.6;50397.65368843343;20.2;50509.89421666542;9.0;52313.63216272168;43.7;52892.99814644794;30.9;55223.161829772274;31.5;56433.7368077333;12.1;57808.73340200537;19.6;59453.05521820631;20.9;60625.324158407275;36.1;60903.73134523312;25.7;61581.32874243704;37.3;63264.990568921574;32.3;63422.43178122768;18.5;65803.94249993378;14.1;66559.33232441693;34.5;66681.92867652795;26.7;68929.40226633321;8.7;71552.0990435254;25.3;71750.28425147646;23.5;72498.10356233269;22.9;76169.40596570476;26.6;77874.08105730213;18.4;78419.68388730331;16.7;79695.27217520885;34.8;79735.59123194269;10.2;80779.36655754263;11.9;80904.75199908191;17.4;82609.47890573043;22.6;83663.93098185874;14.8;1504828800;251
Düsseldorf;32344430.46;5685106.64;37;27.0;16434.198444475333;43.1;18356.704049042284;29.9;20855.984913565924;18.7;22672.87255206083;17.2;24125.02095879981;14.8;24763.43565739033;37.2;28529.39780003937;32.9;30886.01920347971;30.9;31224.732846255287;14.6;33427.6116993857;43.7;33832.855189593196;19.6;33870.359341396164;23.7;35873.788815062035;12.1;37111.16150754805;25.7;37373.91598354755;25.6;39568.524589199704;14.8;39682.61417966573;31.5;40119.78969365717;38.2;40376.91915144302;35.1;42515.748045073735;8.8;45025.25301628874;37.3;45931.36546414037;11.1;48043.55465296497;32.3;49026.71663504528;36.1;49063.7376901234;11.4;50309.52324286099;8.7;51079.59243738166;22.9;51523.38234360338;10.2;53759.74722279811;25.3;54438.95921230336;26.7;55182.651349721535;16.7;55445.853558990544;23.6;60107.299033751726;10.2;61237.67203150124;23.5;61249.18797733906;20.2;61573.275915793485;13.8;63201.20137814341;6.2;64356.88835517801;34.8;64682.13744328891;24.6;64991.79492096276;9.9;65643.23821906572;26.2;66673.78269665132;26.6;69154.49782611459;14.8;69434.26615457247;34.5;69722.5744423843;9.0;71563.2792357702;10.9;73228.35735867804;25.6;73270.54406978656;11.5;73820.04773665745;18.5;75625.1507214142;14.8;1504828800;251
Emsdetten;32401774.37;5780952.25;43;13.7;9498.642899514824;14.5;9950.648937399475;19.8;14525.414532498982;17.4;16335.743681001268;11.9;21657.35594342105;15.4;24736.462488581674;19.2;26708.725793494472;12.5;36189.9060864264;20.9;43768.09283344445;14.1;44537.01251205923;11.1;45042.74703765334;18.5;47613.26534448915;18.4;49287.948764495915;10.6;51434.96643934165;13.8;53513.4817092767;20.2;56698.57489488175;14.9;57071.9514832974;24.6;62111.269082543884;14.2;64745.27183167278;23.6;65353.92532332339;34.5;65636.00144003003;12.5;66479.24643186101;21.6;69739.68485176995;22.6;74468.90723145731;25.6;75119.16358550603;22.1;76441.16777889438;12.3;76506.86618840361;7.7;78471.90498542176;27.0;79533.37361744486;35.1;81172.18779724676;24.2;81613.37219667436;10.4;81669.16289398678;17.4;82650.22781933704;11.8;82887.22912526639;14.8;83654.03839489447;12.2;83830.94364199559;11.4;85082.12109262709;14.6;85731.94922816174;11.1;86607.07919923968;12.4;86757.26136987621;27.1;86983.6954610516;13.3;92980.4404713624;20.9;94406.4394227028;38.2;94564.2388952842;14.8;94629.64971388243;29.9;95362.55880052267;7.3;95942.39416744524;10.2;95984.80785044967;3.7;97479.97309937174;13.5;99769.16025962477;14.8;1504828800;251
Enger;32467335.98;5777829.31;128;12.5;9844.846472001562;14.2;16515.995226386698;17.4;20314.249860334137;14.9;22616.88357437638;27.0;23331.35800821289;7.7;23919.17654175408;22.1;28658.14471686459;27.1;28818.80650689141;20.9;28958.875171957403;10.6;29312.771481474414;11.1;33260.087736212205;12.3;40871.35489638762;24.2;42488.71480330913;6.0;44789.909756205976;15.4;45993.85110008102;13.5;47121.40353180101;21.6;47315.41607697016;19.2;48570.4140375454;12.5;49116.91295308001;12.4;55930.73553637524;11.3;56534.1170271598;19.8;58107.96877013407;11.8;60274.15000269061;10.1;60817.62712539451;14.5;64920.60438419347;3.5;65636.00144003003;13.7;66750.97629364002;4.2;68519.3120471117;18.4;69805.13805425819;1.8;71405.47991817449;10.4;71762.97446534857;17.4;71810.72496136613;4.3;72927.30689015005;3.7;73965.09958577564;5.7;77342.42761987048;22.6;79660.23844752679;14.8;80955.58312379147;11.9;81084.891293764;18.5;81139.38015452975;1.9;81798.03612519345;7.3;82328.84773896697;5.7;82527.54675350463;1.5;85097.3626259104;12.2;86739.75562648205;34.5;87387.76450590997;6.0;91566.86514969595;13.3;91913.23859979426;10.7;94144.16436103507;20.2;95850.02284177212;20.9;96506.33459590132;11.8;1504828800;251
Erkelenz;32312794.55;5661150.93;92;31.5;7066.388226081598;23.7;14696.832390094914;12.1;15578.919780427439;8.7;16034.311724081212;26.7;25613.62768687403;17.2;26780.58669556132;10.2;26854.021414464583;14.8;29711.391609960683;26.6;33703.112452072775;19.6;36984.49878535182;18.7;39682.61417966573;27.0;44682.262768781984;11.5;46490.0375902036;25.7;47261.42978484243;15.6;47393.43859515152;8.8;51558.038623179535;9.9;52103.772973816194;30.9;53790.6174132778;17.2;54133.81709772363;32.9;55223.161829772274;14.8;55283.361794704695;43.1;57036.53268336532;37.2;58030.31118862447;29.9;60774.250171178915;43.7;61888.00760351571;29.7;62649.329919202224;16.7;64606.28128125079;14.6;64928.06532862732;16.4;65668.33296309844;11.0;65710.29105457151;10.9;66034.06245054519;7.9;67512.4126611578;22.9;69782.03997069216;10.2;70006.26431598367;6.2;71419.57175198615;11.1;71445.34135793714;14.8;73115.39919609082;37.3;73656.15882991427;20.9;74522.48733749728;11.4;75230.6286782657;18.0;76134.90476654994;25.6;76559.17545115355;38.2;77388.67039629532;32.3;77570.63042932485;26.2;78130.00960156365;7.0;78205.76567625691;25.3;78444.64220557059;9.0;79843.18122649327;35.1;81696.19401838139;13.5;82106.73578364246;36.1;1504828800;251
