mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_max_depth;param_max_features;param_n_estimators;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;mean_test_score;std_test_score;rank_test_score;split0_train_score;split1_train_score;split2_train_score;split3_train_score;split4_train_score;mean_train_score;std_train_score
261.07185373306277;2.4666060997886965;1.1093762397766114;0.03125033379674266;10;13;100;{'max_depth': 10, 'max_features': 13, 'n_estimators': 100};0.8453962588181736;0.8405888236914547;0.8169211832636996;0.85158810915894;0.8645232745950241;0.8438035299054584;0.015655281387148286;12;0.8900348567036233;0.8967688150890101;0.8982422782159153;0.8930095518643166;0.8917796315711819;0.8939670266888096;0.003075425502010322
310.0812489032745;1.1388191029891452;1.0906282424926759;0.018222036019646247;10;16;100;{'max_depth': 10, 'max_features': 16, 'n_estimators': 100};0.8525449681808919;0.8409323689114445;0.8170256884776483;0.8522778185730266;0.8640546768453179;0.8453671041976658;0.01594620831467153;9;0.8900312186364527;0.8973033660837832;0.8983941589890178;0.8929870289431915;0.8916183908177604;0.8940668326940411;0.003244932228253492
364.44373812675474;1.9298545430760594;1.0906275749206542;0.018226582811465983;10;19;100;{'max_depth': 10, 'max_features': 19, 'n_estimators': 100};0.8518279981165533;0.8396656059445352;0.8152869685141667;0.850577994205997;0.8617468109133439;0.8438210755389192;0.015890638369817068;11;0.8906180901558293;0.8970367522649128;0.8984508089546468;0.8926654828668573;0.8919033738577721;0.8941349016200035;0.0030513821060903735
465.50793037414553;2.7163767774382257;1.090619945526123;0.06042643601499233;10;;100;{'max_depth': 10, 'max_features': None, 'n_estimators': 100};0.8494466924801451;0.8372479191018107;0.8110719367216681;0.8498430760098119;0.8593619727416328;0.8413943194110138;0.016707473141099476;16;0.8893151788191138;0.8960635059337512;0.8974870599301871;0.8918167370104267;0.8901694023698362;0.8929703768126631;0.003240515055930743
376.46874046325684;2.508302436995446;1.9718812465667725;0.08805585125686223;15;13;100;{'max_depth': 15, 'max_features': 13, 'n_estimators': 100};0.8512420643033045;0.8464708420901746;0.8192271510480134;0.8548975403254875;0.864078664334625;0.847183252420321;0.015122766069449674;1;0.9440482209306037;0.9473034972715688;0.9478738624379954;0.9458220212870379;0.9443325627501176;0.9458760329354646;0.0015333030586525706
453.13749823570254;1.2213673138325187;1.9281259536743165;0.03903362371200014;15;16;100;{'max_depth': 15, 'max_features': 16, 'n_estimators': 100};0.8494650184613048;0.8458137171582515;0.8186683813173717;0.8551450054231438;0.8635494097403325;0.8465283064200808;0.015160974916560072;5;0.9437446423384234;0.9469465215285748;0.9470598244708349;0.9452953843254044;0.9440466611943731;0.9454186067715222;0.0013948257527392255
533.268894147873;0.8824828890585915;1.9437461853027345;0.11335474953923592;15;19;100;{'max_depth': 15, 'max_features': 19, 'n_estimators': 100};0.8498463792724585;0.8453083563712814;0.8169471779867776;0.855838456787188;0.8620642960783312;0.8460009332992073;0.015583300725065535;7;0.9435503709832757;0.946961048746792;0.9465256673998035;0.944851161641142;0.9437922633742849;0.9451361024290597;0.0013901768769784902
685.9620432376862;2.8411524039707547;1.9375053882598876;0.0584662643727586;15;;100;{'max_depth': 15, 'max_features': None, 'n_estimators': 100};0.8474127939788557;0.8422495400398173;0.8150634017515451;0.8538166553816711;0.8581524344228881;0.8433389651149554;0.015142729465900192;13;0.9426896777423603;0.9461933767989685;0.9459485509645612;0.9437025874033733;0.9425994255646227;0.9442267236947772;0.0015567749930808338
564.0031143188477;7.648877998077419;10.818751001358033;2.9194711313574353;25;13;100;{'max_depth': 25, 'max_features': 13, 'n_estimators': 100};0.8472918957524882;0.8480876593771712;0.8198533782026233;0.856665643971955;0.8634054015366406;0.8470607957681756;0.014837457150096423;2;0.9776478868639634;0.9785061008700527;0.979211055589711;0.9779990008873514;0.977783970029181;0.9782296028480519;0.0005709395764804324
676.1312482357025;2.4691363184560706;6.090629243850708;1.5027765381676064;25;16;100;{'max_depth': 25, 'max_features': 16, 'n_estimators': 100};0.8468339749835873;0.8474565298790538;0.8191734250771661;0.857561281843753;0.8622120431991861;0.8466474509965493;0.014945766853865712;4;0.9774153756539665;0.9786415502180897;0.9789230990726432;0.9778665443133264;0.9775052484780792;0.9780703635472209;0.0006071768360340574
778.7812401294708;24.01715991563679;60.86958212852478;39.897561767374974;25;19;100;{'max_depth': 25, 'max_features': 19, 'n_estimators': 100};0.8483966328905069;0.8459629984674029;0.8178949526396571;0.8573158637961923;0.8597123058182525;0.8458565507224024;0.014910480349629485;8;0.9771883852060291;0.9782084219342825;0.9792589861545722;0.9777216679632174;0.9774343830216546;0.9779623688559512;0.0007317807305152103
1012.567756319046;13.911470689952722;34.06874990463257;18.637771051443092;25;;100;{'max_depth': 25, 'max_features': None, 'n_estimators': 100};0.8465837607286237;0.8438505430942442;0.815016542581223;0.8547806375915122;0.8554858281772912;0.8431434624345788;0.014773063823110026;14;0.9768001540227977;0.9778176374331418;0.9784281645402267;0.9772321250212496;0.9769309031196297;0.9774417968274092;0.0006051210724248336
605.4871507167816;5.8918458740866;39.39687042236328;10.167810505665352;;13;100;{'max_depth': None, 'max_features': 13, 'n_estimators': 100};0.8467732606360665;0.8474657152238276;0.8197955643567822;0.8567189836265221;0.8634413275889021;0.8468389702864202;0.01486604091780834;3;0.9789452725873381;0.979988172501029;0.9806600166474024;0.9792429217588356;0.9791614331027442;0.9795995633194698;0.0006360544015174396
